Doctor Name,Location,Latitude,Longitude
Dr Keshav Kumar singh,Uttar Pradesh,28.58,77.33
Dr. Subhash Bhagat,West Bengal,23.68333,86.98333
Dr. Suresh Kumar,New Delhi,28.65381,77.22897
Dr.Lori issar,New Delhi,28.6387,77.088142
Dr. Shailendra Gaur's,New Delhi,28.6196,77.08892
dr.Romharshini issar,New Delhi,28.6387,77.088142
Dr. Maheshwar Chawla,Haryana,28.33544005,77.32373
Goyal Clinic,Haryana,28.33694233,77.3215903
Dr. Yogesh Gupta,Haryana,28.33504697,77.32539196
Dr Vivek kaushik,Haryana,28.335815,77.320186
Dr.Samir’s,Haryana,28.333397,77.32156
Dr Harsh Bardhan,Uttar Pradesh,28.61540155,77.42770984
Dr.Kumar family ,Uttar Pradesh,28.5777015,77.3812542
Vishwasth Clinic,Uttar Pradesh,28.5410211,77.3672666
dr. shubra bhardwaj,Uttar Pradesh,28.564117,77.383865
Dr. Amit Agrawal,Uttar Pradesh,28.560708,77.384894
Dr. Pratyush Kumar,Bihar,25.654142,85.191535
Dr. Rajeev Kumar,Bihar,25.535243,85.147729
Dr. Raj Kamal,Bihar,25.634334,85.234782
Dr. Vikas Kumar,Bihar,25.555067,85.084683
Dr. Animesh Gupta,Bihar,25.555067,85.215605
Dr. Amit Kumar Sinha,Bihar,25.574889,85.098023
Dr Binay Prasad,Bihar,25.654142,85.191566
Dr. Mithun Hastir,Chandigarh,30.75592,76.755046
Dr. M. P. Gupta,Chandigarh,30.727241,76.752773
Dr Aseem Goyal,Chandigarh,30.730906,76.783955
Dr Veena Mattu,Haryana,28.482106,77.081437
Dr. Nitin Saluja,Haryana,"28.415873, ",77.05932
Dr. Shantanu chopra,Haryana,28.468405,77.07881
Dr. Deepika Kaushik,Haryana,28.417632,77.0463392
Dr Sonali Jain,Haryana,28.453311,77.066971
Dr. Anant Parasher (PARASHER CLINIC),Haryana,28.4577223,77.034776
Dr. Ashutosh Shukla,Haryana,28.461748,77.074581
Dr Hema Kapoor,Haryana,"28.47390440303661, 77.0464188342005",
Dr. Monga,Haryana,28.465267,77.083221
Dr Jitender Gupta Clinic,Haryana,28.458548,77.051178
Dr. Arpit Gupta,Madhya Pradesh,22.6756,75.85331
Dr. Sarvesh Maru (MD MEDICINE),Madhya Pradesh,22.70757,75.91992
Dr. Gyanesh Patidar,Madhya Pradesh,22.72031,75.901957
Dr Mamta Garg,Madhya Pradesh,22.704489,75.8701
Dr. Vikram Kapur ,Madhya Pradesh,22.727662,75.908039
Dr. Dogne,Madhya Pradesh,22.763566,75.88436
Dr. Nikunj Sharma,Madhya Pradesh,22.764049,75.92251
Dr. Sarvesh Maru,Madhya Pradesh,22.7586603,75.8847799
Dr. Ashok Agrawal,Madhya Pradesh,22.723439,75.8821756
Dr. Madan Sodani,Madhya Pradesh,22.723724,75.893053
Dr. Mohammed Raza (Malik Clinic),Madhya Pradesh,23.258629,77.463561
Dr. Anil Batra Clinic,Madhya Pradesh,23.275991,77.4417
 Dr Shikha's  Clinic,Madhya Pradesh,23.235585,77.452689
Dr Abhinay Krishna Soni,Madhya Pradesh,23.284778,77.474661
Dr Rohit Jain ,Madhya Pradesh,23.20719,77.387225
Dr. Ruhi ,Madhya Pradesh,23.242119,77.364799
 Dr. R K Gupta,Madhya Pradesh,23.230447,77.419731
Dr. Vaibhav Trivedi,Rajasthan,26.876756,75.717457
Dr P L Clinic,Rajasthan,26.873123,75.758376
Dr Guddu's clinic,Rajasthan,26.9319081,75.823353
Vaishali Clinic,Rajasthan,26.917214,75.714431
Gupta's Clinic,Rajasthan,26.902519,75.736837
Dr. Somesh Gupta,Rajasthan,26.866735,75.785842
Dr Rajendra Wadkar,Maharashtra,18.392379,74.116816
Patil Clinic,Maharashtra,18.532766,73.853142
Dr Upadhyay's clinic,Maharashtra,18.560033,73.848169
Shree Clinic,Maharashtra,18.584016,73.84817
LEELA CLINIC PUNE,Maharashtra,18.510366,73.787215
Dr Sushma Jadhav,Maharashtra,18.605773,73.817852
Dr. Archana R Patil.,Maharashtra,18.551585,73.875114
Om Clinic,Maharashtra,18.630919,73.853148
Spandan Clinic,Maharashtra,18.55189,73.75192
Dr. Shubham jaiswal,Chhattisgarh,23.112754,82.521791
Dr Batra's Clinic,Chhattisgarh,21.469129,81.694534
Shree Shyam Clinic,Chhattisgarh,21.30189,81.628614
Dr. Shubhangi Tiwari clinic,Chhattisgarh,21.304383,81.562697
Sachdev Clinic,Chhattisgarh,21.296944,81.489567
Raj Clinic,Gujarat,23.0757562,72.60326
Jalaram Clinic,Gujarat,23.102706,72.482332
Dr. Paras Patel,Gujarat,23.1519206,72.53734
Dr Jitesh Bhatt Jashoda Clinic,Gujarat,23.058726,72.449453
Jyoti Clinic,Gujarat,23.075529,72.518991
Dr. Vivek Kaduskar,Gujarat,23.047559,72.41123
Jyoti clinic,Gujarat,23.061394,72.534028
Sanjivani Clinic,Gujarat,22.996817,72.581289
Dr Sreenivas,Telengana,17.413259,78.474912
Dr Venkatesh Billakanti's ,Telengana,17.395926,78.370533
Dr Narendra Nath,Telengana,17.38757,78.473183
Dr. Husna,Telengana,17.365929,78.429238
Dr. Gupta Natural Clinic,Uttar Pradesh,26.453738,80.306634
Vohra Clinic,Uttar Pradesh,26.541365,80.328482
Astha Clinic,Uttar Pradesh,26.4790984,80.288792
Dr. Anurag Clinic,Uttar Pradesh,26.477722,80.348006
Dr. Pramod Kumar,Uttar Pradesh,26.477342,80.293766
Dr Anil Kumar Gupta,Uttar Pradesh,26.424992,80.3291908
Dr. Pankaj Gupta - ,Kanpur,26.43483,80.349493
Dr Rajiv Jain Clinic,Madhya Pradesh,23.52723,77.794893
Dr.Nirmala Tiwar,Madhya Pradesh,23.524672,77.804155
Khushi clinic,Madhya Pradesh,23.5802,77.849825
Dr. Ayush Jain,Madhya Pradesh,23.5548475,77.816866
Dr Gourav Jain ,Madhya Pradesh,23.52746,77.8058803
Dr. Deepika,Madhya Pradesh,23.544028,77.783605
Dr. Pankaj Gupta,Kanpur,26.42868,80.31952
Archana Clinic,Maharashtra,21.087869,78.986546
Dr Sachin Shelke,Nagpur,21.113242,79.052475
